S.No,In-use English,Changes in English,In-use Telugu,Changes in Telugu,Section,Times used,Translation keys
1, (before migration),, (మైగ్రేషన్‌కు ముందు),,A,1,before_migration_suffix
2, — locked,, — లాక్ చేయబడింది,,A,1,bf_locked_suffix
3,1. Select Role,,1. పాత్రను ఎంచుకోండి,,A,1,step_1_select_role
4,4. Send Request,,4. అభ్యర్థన పంపండి,,A,1,step_4_send_request
5,Aadhaar Number,,ఆధార్ నంబర్,,A,2,aadhaar_number aadhaar_number_field
6,About,,గురించి,,A,1,about
7,Accept,,అంగీకరించండి,,A,1,accept
8,Account,,ఖాతా,,A,1,account
9,Account Cycle Duration,,ఖాతా చక్రం వ్యవధి,,A,2,account_cycle_duration account_cycle_duration_field
10,Account Cycle Unit,,ఖాతా చక్రం యూనిట్,,A,1,account_cycle_unit_field
11,Account Holder: {name},,ఖాతాదారు: {name},,A,1,account_holder_note
12,Account Periods,,ఖాతా వ్యవధులు,,A,1,account_periods
13,Account Review,,ఖాతా సమీక్ష,,A,1,account_review
14,Account Summary,,ఖాతా సారాంశం,,A,1,account_summary
15,Accrued,,సమకూరినది,,A,1,accrued
16,Accrued This Year,,ఈ సంవత్సరం సమకూరినది,,A,1,accrued_this_year
17,Active,,యాక్టివ్,,A,1,active
18,Active Investments,,యాక్టివ్ పెట్టుబడులు,,A,1,active_investments
19,Active Loans,,యాక్టివ్ రుణాలు,,A,1,active_loans
20,Active Members,,యాక్టివ్ సభ్యులు,,A,1,active_members
21,Add,,జోడించండి,,A,1,add
22,Add a Customer,,కస్టమర్‌ను జోడించండి,,A,2,add a customer add_a_customer
23,Add a Member,,సభ్యుడిని జోడించండి,,A,1,add_a_member
24,Add a User,,వినియోగదారుని జోడించండి,,A,1,add_a_user
25,Add Agent,,ఏజెంట్ జోడించండి,,A,1,add_agent
26,Add an Agent,,ఒక ఏజెంట్‌ను జోడించండి,,A,1,add_an_agent
27,Add Area,,ప్రాంతం జోడించండి,,A,1,add_area
28,Add BF,,BF జోడించండి,,A,1,add_bf
29,Add Business Photo,,వ్యాపార ఫోటో జోడించండి,,A,1,add_business_photo
30,Add Cheeti,,చీటీ జోడించండి,,A,1,add_cheti
31,Add Customer,,కస్టమర్ జోడించండి,,A,1,add_customer
32,Add Existing Agent,,ఇప్పటికే ఉన్న ఏజెంట్‌ను జోడించండి,,A,1,add_existing_agent
33,Add Existing Customer,,ఇప్పటికే ఉన్న కస్టమర్‌ను జోడించండి,,A,1,add_existing_customer
34,Add Existing Investor,,ఇప్పటికే ఉన్న పెట్టుబడిదారుని జోడించండి,,A,1,add_existing_investor
35,Add Existing Loan,,ఇప్పటికే ఉన్న రుణం జోడించండి,,A,1,add_existing_loan
36,Add Existing Member,,ఇప్పటికే ఉన్న సభ్యుడిని జోడించండి,,A,1,add_existing_member
37,Add Expense,,ఖర్చు జోడించండి,,A,1,add_expense
38,Add Investor,,పెట్టుబడిదారుని జోడించండి,,A,1,add_investor
39,Add Loan,,రుణం జోడించండి,,A,1,add_loan
40,Add New Village,,కొత్త గ్రామం జోడించండి,,A,1,add_new_village
41,Add Only,,జోడించండి మాత్రమే,,A,1,add_only
42,Add Payment,,చెల్లింపు జోడించండి,,A,1,add_payment
43,Add Profile Photo,,ప్రొఫైల్ ఫోటో జోడించండి,,A,1,add_profile_photo
44,Add Remark,,వ్యాఖ్య జోడించండి,,A,1,add_remark
45,Add Remarks,,వ్యాఖ్యలు జోడించండి,,A,1,add_remarks
46,Add This Village,,ఈ గ్రామాన్ని జోడించండి,,A,1,add_this_village
47,Add Village,,గ్రామం జోడించండి,,A,1,add_village
48,Added as {roles}.,,{roles}గా జోడించబడింది.,,A,1,added_as_roles_note
49,Added to Principal,,అసలుకు జోడించబడింది,,A,1,added_to_principal
50,Address,,చిరునామా,,A,2,address address_field
51,Adjustments,,సర్దుబాట్లు,,A,1,adjustments
52,Admin Login,,అడ్మిన్ లాగిన్,,A,1,admin_login
53,Admin Panel,,అడ్మిన్ ప్యానెల్,,A,1,admin_panel
54,Advance,,అడ్వాన్స్,,A,1,advance
55,Advances Deducted,,తీసివేసిన అడ్వాన్సులు,,A,1,advances_deducted
56,Agent,,ఏజెంట్,,A,1,agent
57,Agent Dashboard,,ఏజెంట్ డాష్‌బోర్డ్,,A,1,agent_dashboard
58,Agent Remarks,,ఏజెంట్ వ్యాఖ్యలు,,A,1,agent_remarks
59,Agent Salary Deduction,,ఏజెంట్ జీతం మినహాయింపు,,A,1,agent_salary_deduction
60,Agent Summary,,ఏజెంట్ సారాంశం,,A,1,agent_summary
61,Agent: {names},,ఏజెంట్: {names},,A,1,agent_colon_note
62,Agent: {name},,ఏజెంట్: {name},,A,1,agent_note
63,Agents,,ఏజెంట్లు,,A,2,agents entry_stage_agents
64,Agents: {names},,ఏజెంట్లు: {names},,A,2,agents_colon_note agents_label_note
65,Agreement Snapshot,,ఒప్పంద స్నాప్‌షాట్,,A,1,agreement_snapshot
66,Agreement Text,,ఒప్పంద వచనం,,A,1,agreement_text_field
67,Agreement Type,,ఒప్పంద రకం,,A,1,agreement_type_field
68,Agreements,,ఒప్పందాలు,,A,1,agreements
69,All,,అన్నీ,,A,1,all
70,All Dates,,అన్ని తేదీలు,,A,1,all_dates
71,All Villages,,అన్ని గ్రామాలు,,A,1,all_villages
72,Allow,,అనుమతించండి,,A,1,allow
73,Allowance: {amount},,భత్యం: {amount},,A,1,allowance_note
74,Already collected,,ఇప్పటికే వసూలు చేసినది,,A,1,already_collected
75,Already Collected Today,,ఈరోజు ఇప్పటికే వసూలైంది,,A,1,already_collected_today
76,Already Paid,,ఇప్పటికే చెల్లించినది,,A,1,already_paid
77,Already registered?,,ఇప్పటికే నమోదు అయ్యారా?,,A,1,already_registered_q
78,Already Running,,ఇప్పటికే నడుస్తున్నది,,A,1,pre_existing_loan
79,Amount,,మొత్తం,,A,1,amount
80,Amount *,,మొత్తం *,,A,1,amount_required_field
81,Amount Availed *,,పొందిన మొత్తం *,,A,1,amount_availed_field
82,Amount Given,,ఇచ్చిన మొత్తం,,A,1,amount_given
83,Amount Given (locked),,ఇచ్చిన మొత్తం (లాక్ చేయబడింది),,A,1,amount_given_locked
84,Amount Owed,,బాకీ ఉన్న మొత్తం,,A,1,amount_owed
85,an earlier date,,ఒక ముందు తేదీ,,A,1,an_earlier_date
86,Appearance,,రూపం,,A,1,appearance
87,Append-only,,జోడించడం మాత్రమే,,A,1,append_only
88,Applied To,,వర్తించినది,,A,1,applied_to
89,Applied to: {target},,వర్తించినది: {target},,A,1,applied_to_note
90,Apply,,వర్తింపజేయండి,,A,1,apply
91,Apply Penalty,,జరిమానా వేయండి,,A,1,apply_penalty
92,Approve,,ఆమోదించండి,,A,1,approve
93,Approve Account Period?,,ఖాతా వ్యవధిని ఆమోదించాలా?,,A,1,approve_account_period_question
94,April,,ఏప్రిల్,,A,1,april
95,Archive,,ఆర్కైవ్,,A,1,archive
96,Archive Customer,,కస్టమర్‌ను ఆర్కైవ్ చేయండి,,A,1,archive_customer
97,Area Name,,ప్రాంతం పేరు,,A,1,area_name_field
98,Area Options,,ప్రాంతం ఎంపికలు,,A,1,area_options
99,Area Type *,,ప్రాంత రకం *,,A,1,area_type_field
100,Area Work Session,,ప్రాంత పని సెషన్,,A,1,area_work_session
101,Areas,,ప్రాంతాలు,,A,1,areas
102,Assign Agent,,ఏజెంట్ కేటాయించండి,,A,1,assign_agent
103,Assigned,,కేటాయించబడింది,,A,1,assigned
104,Assigned Agent,,కేటాయించిన ఏజెంట్,,A,1,assigned_agent
105,Assigned Route,,కేటాయించిన మార్గం,,A,1,assigned_route
106,At Confirm,,నిర్ధారణ వద్ద,,A,1,at_confirm
107,Attention Required,,శ్రద్ధ అవసరం,,A,1,attention_required
108,Audit,,ఆడిట్,,A,1,audit
109,August,,ఆగస్టు,,A,1,august
110,Available Actions,,అందుబాటులో ఉన్న చర్యలు,,A,1,available_actions
111,Available Balance,,అందుబాటులో ఉన్న నిల్వ,,A,1,available_balance
112,Availed,,పొందినది,,A,1,availed
113,Availed On,,పొందిన తేదీ,,A,1,availed_on
114,Availed {date},,{date}న పొందారు,,A,1,availed_on_note
115,Awaiting Owner/Agent confirmation.,,యజమాని/ఏజెంట్ నిర్ధారణ కోసం వేచి ఉంది.,,A,1,awaiting_owner_agent_confirmation
116,Back,,వెనుకకు,,A,1,back
117,Back to Dashboard,,డాష్‌బోర్డ్‌కు తిరిగి,,A,1,back_to_dashboard
118,Back To Home,,,,A,1,web_route_unavailable_back
119,Backup,,బ్యాకప్,,A,1,backup
120,Balance,,బ్యాలెన్స్,,A,1,balance
121,Balance Before Today,,నేటికి ముందు నిల్వ,,A,1,balance_before_today
122,Balanced,,సరిపోయింది,,A,1,balanced
123,Bank,,బ్యాంక్,,A,1,bank
124,Bank Balance,,బ్యాంక్ నిల్వ,,A,1,bank_balance
125,Bank Collection,,బ్యాంక్ వసూలు,,A,1,bank_collection
126,Bank Transfer,,బ్యాంక్ బదిలీ,,A,1,bank_transfer
127,BF Cash Panel,,BF నగదు ప్యానెల్,,A,1,bf_cash_panel
128,BF Cash Transfer,,BF నగదు బదిలీ,,A,1,bf_cash_transfer
129,BF Given,,బీఎఫ్ ఇచ్చారు,,A,1,bf_given
130,BF Given To,,బీఎఫ్ ఇచ్చినది,,A,1,bf_given_to
131,BF Received,,BF అందింది,,A,1,bf_received
132,Brought Forward (BF),,నిల్వ (BF),,A,1,brought_forward
133,Bulk Onboarding,,బల్క్ ఆన్‌బోర్డింగ్,,A,1,bulk_onboarding
134,Bulk Onboarding Wizard,,బల్క్ ఆన్‌బోర్డింగ్ విజార్డ్,,A,1,bulk_onboarding_wizard
135,Business Access,,వ్యాపార యాక్సెస్,,A,1,business_access
136,Business Address,,వ్యాపార చిరునామా,,A,1,business_address_field
137,Business Cash,,వ్యాపార నగదు,,A,1,business_cash
138,Business Cash Total,,మొత్తం వ్యాపార నగదు,,A,1,business_cash_total
139,Business Date,,వ్యాపార తేదీ,,A,1,business_date
140,Business Day Closed,,వ్యాపార దినం మూసివేయబడింది,,A,1,business_day_closed
141,Business Detail,,వ్యాపార వివరాలు,,A,1,business_detail
142,Business Email,,వ్యాపార ఇమెయిల్,,A,1,business_email_field
143,Business Linked,,"1) వ్యాపారానికి లింక్ చేయబడింది
2) వ్యాపారం లింక్ చేయబడింది",,A,2,business_linked check_business_linked
144,Business Management,,వ్యాపార నిర్వహణ,,A,1,business_management
145,Business Memberships,,వ్యాపార సభ్యత్వాలు,,A,1,business_memberships
146,Business Name,,వ్యాపార పేరు,,A,1,business_name
147,Business Name *,,వ్యాపార పేరు *,,A,1,business_name_field
148,Business Phone,,వ్యాపార ఫోన్,,A,1,business_phone_field
149,Business profit,,వ్యాపార లాభం,,A,1,business_profit
150,Business Status,,వ్యాపార స్థితి,,A,1,business_status
151,Business Transfer,,వ్యాపార బదిలీ,,A,1,business_transfer
152,Business Type,,వ్యాపార రకం,,A,1,business_type_field
153,Business-Day-Accounts,,వ్యాపార-దిన-ఖాతాలు,,A,1,business_day_accounts
154,Businesses Owned,,స్వంత వ్యాపారాలు,,A,1,businesses_owned
155,Can Add Remarks,,వ్యాఖ్యలు జోడించగలరు,,A,1,perm_can_add_remarks
156,Can Apply Penalty,,జరిమానా విధించగలరు,,A,1,perm_can_apply_penalty
157,Can Collect Payments,,చెల్లింపులు వసూలు చేయగలరు,,A,1,perm_can_collect_payments
158,Can Create Drafts,,డ్రాఫ్ట్‌లు సృష్టించగలరు,,A,1,perm_can_create_drafts
