aadhaar_dispute_case~|~SP-001 — Aadhaar Dispute Case~|~SP-001 — ఆధార్ వివాద కేసు
aadhaar_id_reference~|~Aadhaar / ID Reference~|~ఆధార్ / ఐడి సూచన
aadhaar_name_notice~|~Enter your name exactly as printed on your Aadhaar. A mismatch can lead to your account being suspended.~|~మీ ఆధార్‌లో ముద్రించి ఉన్నట్టుగానే మీ పేరు నమోదు చేయండి. తేడా ఉంటే మీ ఖాతా నిలిపివేయబడవచ్చు.
aadhaar_number~|~Aadhaar Number~|~ఆధార్ నంబర్
aadhaar_number_field~|~Aadhaar Number~|~ఆధార్ నంబర్
aadhaar_optional_note~|~Aadhaar Number (optional — leave blank for a temporary MLTI ID)~|~ఆధార్ నంబర్ (ఐచ్ఛికం — తాత్కాలిక MLTI ఐడి కోసం ఖాళీగా వదలండి)
about~|~About~|~గురించి
accept~|~Accept~|~అంగీకరించండి
accept_privacy_policy~|~Accept Privacy Policy *~|~గోప్యతా విధానం అంగీకరించండి *
accept_terms_conditions~|~Accept Terms & Conditions *~|~నిబంధనలు & షరతులు అంగీకరించండి *
accept_terms_first_note~|~Accept the Terms & Conditions to continue.~|~కొనసాగించడానికి నిబంధనలు & షరతులను అంగీకరించండి.
accept_terms_to_continue~|~I accept the Terms & Conditions and Privacy Policy~|~నేను నిబంధనలు & షరతులు మరియు గోప్యతా విధానాన్ని అంగీకరిస్తున్నాను
accepted_by_member~|~Accepted by the member~|~సభ్యుడు అంగీకరించారు
access_not_yet_granted~|~Access Not Yet Granted~|~యాక్సెస్ ఇంకా మంజూరు కాలేదు
account~|~Account~|~ఖాతా
account_created_code_not_sent_note~|~Your account is created — your MANA LINE ID is {mlid}. Do not register again. We could not send your code; tap Resend Otp.~|~మీ ఖాతా సృష్టించబడింది — మీ మన లైన్ ఐడీ {mlid}. మళ్లీ నమోదు చేయవద్దు. మేము మీ కోడ్‌ను పంపలేకపోయాము; రీసెండ్ Otp నొక్కండి.
account_cycle_duration~|~Account Cycle Duration~|~ఖాతా చక్రం వ్యవధి
account_cycle_duration_field~|~Account Cycle Duration~|~ఖాతా చక్రం వ్యవధి
account_cycle_not_configured~|~Account cycle not yet configured~|~ఖాతా చక్రం ఇంకా కాన్ఫిగర్ చేయలేదు
